Fecha;Fase;Equipo;Turno_A;Turno_B;Total;Plan;Cumplimiento_TA;Cumplimiento_TB;Cumplimiento_Diario;Estado_TA;Estado_TB;Tipo
29-10;F09;PF24;165;67;232;307.24320000000006;107.4;43.6;75.5;;;Equipo
29-10;F09;PF25;0;0;0;284.71396799999997;0;0;0;;;Equipo
29-10;F09;PF26;160;152;312;313.56160000000006;102.1;97;99.5;;;Equipo
29-10;F09;ROC;0;0;0;0;0;0;0;;;Equipo
29-10;F09;TOTAL_FASE;222;555;777;702.3856000000001;63.2;158;110.6;;;Total_Fase
29-10;F11;TOTAL_FASE;1518;1594;3112;2714.543968;111.8;117.4;114.6;;;Total_Fase
29-10;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
30-10;F12;ROC;0;61.8;61.8;0;0;0;0;;;Equipo
30-10;F12;PF03;230;148;378;69.09232;665.8;428.4;547.1;;;Equipo
30-10;F12;TOTAL_FASE;230;209.8;439.8;69.09232;665.8;607.3;636.5;;;Total_Fase
30-10;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
30-10;F09;PF21;170;191;361;255.75616000000002;132.9;149.4;141.2;;;Equipo
30-10;F09;PF23;104;202;306;169.125;123;238.9;180.9;;;Equipo
30-10;F09;PF24;79;0;79;174.57000000000002;90.5;0;45.3;;;Equipo
30-10;F09;PF25;60;105;165;172.09499999999997;69.7;122;95.9;;;Equipo
30-10;F09;PF26;180;171;351;225.76435200000003;159.5;151.5;155.5;;;Equipo
30-10;F09;ROC;0;0;0;0;0;0;0;;;Equipo
30-10;F09;TOTAL_FASE;468;466;934;423.15148800000003;221.2;220.3;220.7;;;Total_Fase
30-10;F11;TOTAL_FASE;1789;1635.8;3424.8;1806.1079200000001;198.1;181.1;189.6;;;Total_Fase
30-10;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
31-10;F12;ROC;309;0;309;0;0;0;0;;;Equipo
31-10;F12;PF03;38;17;55;377;20.2;9;14.6;;;Equipo
31-10;F12;TOTAL_FASE;347;17;364;377;184.1;9;96.6;;;Total_Fase
31-10;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
31-10;F09;PF21;237;150;387;320;148.1;93.8;120.9;;;Equipo
31-10;F09;PF23;120;79;199;150;160;105.3;132.7;;;Equipo
31-10;F09;PF24;0;204;204;0;0;0;0;;;Equipo
31-10;F09;PF25;210;170;380;289;145.3;117.6;131.5;;;Equipo
31-10;F09;PF26;115;201;316;282;81.6;142.6;112.1;;;Equipo
31-10;F09;ROC;0;0;0;0;0;0;0;;;Equipo
31-10;F09;TOTAL_FASE;130;216;346;602;43.2;71.8;57.5;;;Total_Fase
31-10;F11;TOTAL_FASE;1449;1274;2723;2337;124;109;116.5;;;Total_Fase
31-10;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
01-11;F12;ROC;77.5;0;77.5;0;0;0;0;Operativa;;Equipo
01-11;F12;TOTAL_FASE;77.5;0;77.5;0;0;0;0;;;Total_Fase
01-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
01-11;F09;PF21;239;103;342;267;179;77.2;128.1;FS sensor Rod siport/;;Equipo
01-11;F09;PF23;0;0;0;83;0;0;0;FS Fuga de aire cabezal /;;Equipo
01-11;F09;PF24;155;54;209;170;182.4;63.5;122.9;FS Tefolnes /;;Equipo
01-11;F09;PF25;317;0;317;161;393.8;0;196.9;Operativa;;Equipo
01-11;F09;PF26;200;114;314;262;152.7;87;119.8;Operativa/ FS Perno Tazon / Operativa;;Equipo
01-11;F09;PF03;0;0;0;0;0;0;0;Mantención;;Equipo
01-11;F09;TOTAL_FASE;360;556;916;602;119.6;184.7;152.2;;;Total_Fase
01-11;F11;TOTAL_FASE;1426.5;827;2253.5;1783;160;92.8;126.4;;;Total_Fase
01-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
02-11;F12;ROC;0;0;0;0;0;0;0;Operativa;;Equipo
02-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
02-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
02-11;F09;PF21;255;181;436;334;152.7;108.4;130.5;FS sensor Rod siport/;;Equipo
02-11;F09;PF23;100;153;253;147;136.1;208.2;172.1;FS Fuga de aire cabezal /;;Equipo
02-11;F09;PF24;90;144;234;300;60;96;78;FS Tefolnes /;;Equipo
02-11;F09;PF25;118;139;257;283;83.4;98.2;90.8;Operativa;;Equipo
02-11;F09;PF26;216;180;396;328;131.7;109.8;120.7;Operativa/ FS Perno Tazon / Operativa;;Equipo
