textbox25,textbox53,textbox24,textbox52,textbox54,textbox28,textbox48,textbox27,textbox49,textbox26,textbox50,textbox1,textbox2
DISPATCH MINERA LOS PELAMBRES,Inicio turno,01-ENE-2026 A,Fin turno,17-FEB-2026 A,Reporte creado el,"martes, 17 de febrero de 2026",Tiempo,9:32:37,Generado por,SANTIAGO\amsmfernandez,Generado en (segundos),93

FullShiftName,Equipo,Metros,Tp__Efectivo,Demora_Prog,Demora_Nprog,Reserva,Mant__Prog,Mant__Nprog,ID_UEBD,ID_Disp__Física,ID_Disp__Mecánica,Textbox40,Textbox41,Textbox42,Textbox43,Textbox44,Textbox45,Textbox46,Textbox47,Textbox48,Textbox49,Textbox28,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox37
02-FEB-2026 A,PF-26,"47.349,9","0,0","102,1","40,8","0,0","0,0","108,9","0,0","56,7","56,7","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF03,"8.364,7","0,0","0,0","0,0","12,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-07,"28.461,2","0,0","28,8","99,4","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-21,"17.255,0","0,0","163,4","47,0","0,0","0,0","20,9","0,0","91,0","91,0","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-22,"19.818,2","0,0","0,0","43,6","433,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-23,"10.894,2","0,0","0,0","20,9","0,0","6.423,0","0,0","0,0","0,3","0,3","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-24,"15.256,5","0,0","153,2","14,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-25,"34.764,9","0,0","41,5","0,3","0,0","0,0","89,5","0,0","31,8","31,8","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 B,PF-26,"47.349,9","0,0","140,5","7,5","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","527,2","232,8","445,0","6.423,0","110,3","0,0","623,1","623,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF03,"8.364,7","10,2","0,4","1,5","0,0","0,0","0,0","84,7","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-07,"28.461,2","0,0","82,0","24,9","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-21,"17.255,0","0,0","0,0","25,6","223,8","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-22,"19.818,2","0,0","33,0","54,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-23,"10.894,2","0,0","243,4","0,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-24,"15.256,5","0,0","41,1","0,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-25,"34.764,9","0,0","50,1","15,6","187,2","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 A,PF-26,"47.349,9","0,0","0,0","106,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","10,2","449,9","227,5","411,0","0,0","0,0","84,7","800,0","800,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
03-ENE-2026 B,PF03,"8.364,7","2,6","0,1","1,8","0,0","0,0","7,6","58,1","37,0","37,0","134.814,8","2,6","300,1","1.021,9","342,0","0,0","494,9","58,1","568,3","568,3","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
